mmsi,inferred,known
205351890,cargo_or_tanker,
205351990,cargo_or_tanker,
205352090,cargo_or_tanker,
205352190,cargo_or_tanker,
205352390,cargo_or_tanker,
205352490,cargo_or_tanker,
205352990,tug,
205353090,cargo_or_tanker,
205354790,cargo_or_tanker,
205354990,cargo_or_tanker,
205355190,cargo_or_tanker,
205355290,cargo_or_tanker,
205355390,cargo_or_tanker,
205355590,cargo_or_tanker,
205355790,cargo_or_tanker,
205355890,cargo_or_tanker,
205355990,cargo_or_tanker,
205356090,cargo_or_tanker,
205356690,cargo_or_tanker,
205356700,cargo_or_tanker,cargo_or_tanker
205357090,cargo_or_tanker,
205357290,cargo_or_tanker,
205357990,cargo_or_tanker,
205358090,cargo_or_tanker,
205358690,tug,
