mmsi,clav_TUVI,rfmo_id,length,tonnage,power
440894000,278,8221,49.61,425.0,1200.0
431838000,361,4243,49.39,379.0,NA
431700980,805,4333,48.87,379.0,NA
367119910,70,9827,23.77,120.0,425.0
431873000,1063,4169,51.4,499.0,NA
440786000,206,8107,49.91,423.0,1200.0
432399000,15587,12061,57.0,660.0,2e3
636092422,38582,16005,134.02,7303.0,9599.0
431101320,557,4147,49.9,409.0,999.0
576107000,23971,14328,120.75,4538.0,NA
263821000,428,14395,34.0,350.0,789.0
224438000,823,8845,28.0,81.0,NA
372527000,4797,3943,59.74,1375.0,3600.0
730059000,24795,13554,36.88,1010.0,1400.0
431602690,759,4865,48.19,379.0,1e3
432226000,362,9063,49.99,439.0,NA
576328000,24157,14676,99.06,3989.0,4077.0
431253000,370,4349,49.2,379.0,NA
432395000,15589,12065,57.49,650.0,NA
416623000,1394,8701,55.9,535.0,1200.0
224313000,1438,8777,44.45,838.0,NA
440941000,882,8259,47.21,380.0,1e3
529604000,26672,14335,79.77,2047.0,NA
563418000,24165,15334,134.15,6534.0,NA
416631000,2874,15668,52.65,497.0,1200.0
432441000,804,13591,34.9,167.0,NA
416338000,1372,8723,56.18,503.0,1500.0
366827000,14445,11975,61.5,1200.0,3600.0
441680000,666,4569,49.62,409.0,1e3
224043560,1426,8763,29.3,259.0,600.0
431701780,560,5431,48.03,379.0,NA
775626000,4706,3244,62.17,874.0,NA
367340120,3794,13038,13.35,29.0,465.0
366900670,28565,2848,33.07,307.0,1125.0
367874400,26664,12921,19.9,105.0,385.0
735058003,4846,4138,116.0,4401.0,NA
412460282,24529,15541,38.85,302.0,1210.0
224308000,914,8875,32.25,195.0,NA
367463000,15687,12486,63.1,1376.0,NA
224377000,1467,8815,28.0,169.0,357.0
416213800,157,14383,29.2,98.0,1e3
366980030,3567,12637,11.7,15.0,160.0
366831470,3062,11021,13.56,22.0,200.0
365878412,14528,670,75.25,2019.0,3900.0
338123766,37842,15958,9.14,11.0,320.0
730019000,4777,3844,64.31,851.0,1810.0
123456789,37952,3373,59.74,881.0,NA
367165240,27219,12855,25.9,139.0,1e3
440648000,1279,8185,49.91,408.0,1200.0
432374000,145,9127,52.6,499.0,986.0
224138280,8141,14937,28.0,169.0,173.0
224987000,726,8819,43.5,606.0,NA
225325000,948,6405,21.49,220.0,600.0
431700150,437,13575,56.87,499.0,NA
224022910,433,12129,25.95,147.0,NA
224020000,2097,8899,27.3,236.0,416.0
416002604,1100,13699,29.88,99.0,1e3
200001140,26697,15242,77.0,1588.0,1323.0
440920000,896,8393,46.91,383.0,1200.0
441660000,667,5375,48.11,393.0,1e3
577102000,23972,13642,120.75,4521.0,4069.0
224654000,240,12364,40.5,497.0,1098.0
412420913,24895,15638,41.0,461.0,1e3
263564000,477,14396,45.5,453.0,730.0
576877000,1267,9453,44.99,492.0,NA
224135000,21,12451,27.85,NA,NA
416004759,24891,15658,38.1,273.0,1032.0
224556000,2,6355,39.6,432.0,625.0
440450000,1103,14595,68.29,1349.0,NA
224196000,834,5643,43.5,613.0,1200.0
224153130,8135,14933,28.5,206.0,266.0
224913000,709,15212,43.0,538.0,NA
431053000,1247,4509,49.65,439.0,490.0
441251000,936,8369,49.77,442.0,1200.0
416002858,1095,14370,28.2,98.0,1e3
431620000,224,4697,49.9,467.0,NA
432426000,121,12007,49.99,439.0,NA
576687000,23989,14323,88.94,2581.0,2e3
416002286,14201,7511,27.9,80.0,NA
416091600,682,8743,55.9,531.0,1200.0
441201562,716,7123,47.99,486.0,1e3
412460289,24374,15555,38.85,302.0,1150.0
440778000,252,8149,48.45,388.0,1200.0
440781000,256,8209,49.61,424.0,1200.0
412205140,715,12427,48.6,626.0,1200.0
440641000,253,8207,49.62,424.0,1200.0
416072600,166,8685,55.2,705.0,1200.0
316002839,21337,14876,13.48,11.0,220.0
412460029,650,15561,49.14,619.0,1e3
263584000,46,15999,39.1,398.0,899.0
416002813,14987,15263,26.1,80.0,600.0
440780000,260,8205,49.62,424.0,1200.0
416002839,15001,14660,27.3,99.0,1e3
416003205,14178,5869,27.45,63.0,NA
263576000,1305,14399,40.95,593.0,850.0
311042300,38364,15977,119.0,5617.0,7200.0
367512180,21167,15004,24.17,129.0,500.0
367078130,24501,15153,32.09,180.0,1750.0
224001000,92,6367,34.27,391.0,751.0
412460286,24539,15551,38.85,302.0,1150.0
735058805,4752,3661,72.01,1967.0,4400.0
416121800,443,8753,55.9,531.0,1400.0
416119900,719,8737,56.0,525.0,1500.0
366903000,15660,12483,71.79,1284.0,NA
359003000,4688,299,78.39,2058.0,NA
432962000,24852,15594,49.99,439.0,1001.0
412420875,24526,15538,44.19,476.0,1200.0
224392000,962,6411,36.48,396.0,852.0
412420985,1422,13636,48.7,646.0,1e3
224098420,1864,14926,28.0,184.0,316.0
440444000,12531,3229,68.27,946.0,NA
412694840,2037,9445,46.75,579.0,NA
372880000,3482,12466,80.6,2232.0,NA
577082000,26673,14911,107.88,4394.0,6e3
416002682,14207,15571,28.2,97.38,640.0
529087000,26903,14594,99.02,3363.0,5400.0
576811000,461,9293,46.75,558.0,NA
