mmsi,primary_geartype,secondary_geartype
235083322,Trawlers,Pots and traps
238837240,Purse seines,Set gillnets
247141230,Trawlers,Purse seines
238794240,Purse seines,Set gillnets
238424040,Purse seines,Trawlers
247100470,Set longlines,Set gillnets
247147090,Trawlers,Set gillnets
261003220,Trawlers,Drifting longlines
265600190,Trollers,Pots and traps
247131770,Trawlers,Set longlines
247147380,Trawlers,Purse seines
247306520,Trawlers,Purse seines
219001588,Fishing vessel,Set gillnets
250428000,Set gillnets,Fishing vessel
250486000,Fishing vessel,Trawlers
266390000,Pole and line,Set gillnets
263407870,Purse seines,Set longlines
247303340,Trawlers,Purse seines
247132540,Purse seines,Set longlines
247119740,Trawlers,Purse seines
219012521,Fishing vessel,Trawlers
210924000,Drifting longlines,Set longlines
227322070,Pots and traps,Set gillnets
247304290,Trawlers,Set longlines
247120640,Trawlers,Set longlines
220353000,Set gillnets,Trawlers
239391000,Set gillnets,Drifting longlines
247202650,Trawlers,Purse seines
239467000,Purse seines,Set gillnets
247102180,Trawlers,Purse seines
265670930,Set gillnets,Pole and line
211314450,Trawlers,Fishing vessel
247070880,Trawlers,Set gillnets
227636430,Set gillnets,Set longlines
247156120,Trawlers,Set longlines
247092230,Trawlers,Set longlines
265658830,Trawlers,Pots and traps
227320160,Set gillnets,Pots and traps
275191000,Set gillnets,Set longlines
263410840,Drifting longlines,Set longlines
247049440,Purse seines,Set longlines
247054130,Trawlers,Set longlines
247050740,Trawlers,Set longlines
224175960,Set longlines,Set gillnets
247140950,Set longlines,Fishing vessel
247281510,Trawlers,Set longlines
224272000,Set longlines,Pots and traps
219762000,Set gillnets,Trawlers
247092890,Trawlers,Set longlines
247142190,Purse seines,Set longlines
219013976,Set gillnets,Set longlines
227631850,Trawlers,Pots and traps
247143230,Purse seines,Set longlines
256000513,Drifting longlines,Set longlines
220127000,Trawlers,Set gillnets
207822580,Trawlers,Set gillnets
238316240,Purse seines,Trawlers
237123000,Purse seines,Trawlers
247141870,Trawlers,Set gillnets
246314000,Trawlers,Set gillnets
247147630,Trawlers,Set longlines
247141970,Trawlers,Set longlines
247149950,Trawlers,Set longlines
244010526,Set gillnets,Pole and line
263294000,Pots and traps,Set longlines
247147880,Trawlers,Set longlines
235020111,Pots and traps,Fishing vessel
204257000,Purse seines,Set gillnets
26103770,Set longlines,Set gillnets
240724000,Purse seines,Set gillnets
224000240,Set longlines,Pots and traps
238655940,Trawlers,Purse seines
247122240,Trawlers,Set longlines
261008030,Trawlers,Drifting longlines
227569380,Trawlers,Set longlines
225341000,Set longlines,Set gillnets
247030820,Purse seines,Set longlines
219002051,Trawlers,Set gillnets
239188000,Drifting longlines,Set longlines
247280830,Purse seines,Fishing vessel
239233000,Drifting longlines,Set longlines
247114040,Trawlers,Set longlines
227599000,Trawlers,Fishing vessel
237613000,Trawlers,Purse seines
237553000,Purse seines,Set gillnets
238016640,Purse seines,Trawlers
261006940,Trawlers,Drifting longlines
227301110,Pots and traps,Set gillnets
237918000,Trawlers,Purse seines
224020060,Set longlines,Pots and traps
261005180,Set gillnets,Set longlines
247071910,Trawlers,Set longlines
247092310,Trawlers,Set longlines
247076150,Trawlers,Set gillnets
224011990,Set longlines,Set gillnets
207824680,Trawlers,Set gillnets
204813000,Drifting longlines,Set longlines
265687420,Set gillnets,Pole and line
219018405,Trawlers,Set gillnets
247081340,Purse seines,Set longlines
247122250,Trawlers,Set longlines
247150350,Set longlines,Fishing vessel
247044920,Trawlers,Set longlines
261018440,Trawlers,Set longlines
204209570,Pole and line,Fishing vessel
247155630,Trawlers,Set longlines
205240000,Fishing vessel,Trawlers
265752900,Pots and traps,Fishing vessel
263419290,Set longlines,Purse seines
227316070,Trawlers,Pots and traps
261007860,Set gillnets,Drifting longlines
247151280,Trawlers,Set longlines
247130850,Trawlers,Set longlines
247145580,Trawlers,Set gillnets
227628730,Trawlers,Pots and traps
235081915,Pots and traps,Set gillnets
247110770,Trawlers,Set gillnets
247030620,Trawlers,Purse seines
227321290,Set longlines,Trawlers
247142520,Set longlines,Fishing vessel
247051930,Trawlers,Purse seines
238281140,Purse seines,Trawlers
239098000,Purse seines,Set gillnets
247281540,Trawlers,Purse seines
219007432,Trawlers,Set gillnets
227563620,Set gillnets,Pots and traps
247100690,Trawlers,Set longlines
275448000,Pots and traps,Unknown gear
247302720,Purse seines,Set longlines
247113010,Trawlers,Purse seines
250001143,Trawlers,Set gillnets
247126690,Trawlers,Set longlines
227682390,Trawlers,Set gillnets
227556000,Set longlines,Drifting longlines
247131980,Trawlers,Purse seines
237299000,Trawlers,Purse seines
256000534,Set longlines,Drifting longlines
237983000,Purse seines,Set gillnets
204235000,Set gillnets,Drifting longlines
247151730,Trawlers,Set longlines
227414000,Trawlers,Fishing vessel
244860535,Trawlers,Fishing vessel
247145290,Trawlers,Set longlines
239398000,Purse seines,Set gillnets
219007036,Trawlers,Set gillnets
237220000,Trawlers,Purse seines
240324000,Purse seines,Set gillnets
227610980,Set gillnets,Pots and traps
247101440,Trawlers,Purse seines
227625440,Trawlers,Set gillnets
247300340,Trawlers,Purse seines
247100520,Trawlers,Set gillnets
224000220,Set longlines,Set gillnets
219006061,Set gillnets,Set longlines
265483000,Purse seines,Trawlers
247143580,Trawlers,Set longlines
250184000,Purse seines,Trawlers
227107100,Set longlines,Drifting longlines
250001676,Set longlines,Drifting longlines
207824340,Set gillnets,Pole and line
247120430,Trawlers,Set gillnets
247150160,Trawlers,Set longlines
227648210,Set gillnets,Trawlers
247083390,Trawlers,Purse seines
247142050,Trawlers,Purse seines
247100360,Trawlers,Purse seines
219001149,Trawlers,Fishing vessel
250142400,Trawlers,Purse seines
247149280,Trawlers,Set longlines
237450000,Trawlers,Purse seines
247123680,Trawlers,Pole and line
250292000,Set gillnets,Trawlers
212446000,Drifting longlines,Set longlines
227582920,Set gillnets,Trollers
240452000,Drifting longlines,Set longlines
247141810,Trawlers,Set gillnets
247123160,Trawlers,Set longlines
204270000,Set gillnets,Pots and traps
247149810,Trawlers,Purse seines
247102210,Trawlers,Purse seines
207826760,Trawlers,Pole and line
237015000,Trawlers,Purse seines
263413370,Drifting longlines,Set longlines
247144080,Trawlers,Set longlines
247149020,Trawlers,Fishing vessel
204237000,Drifting longlines,Set longlines
247142630,Set longlines,Set gillnets
247123070,Trawlers,Set longlines
204209960,Pole and line,Drifting longlines
238381540,Trawlers,Purse seines
